antecedent_codes,antecedent_labels,consequent_codes,consequent_labels,support,confidence,lift
GEN003,GEN003: Chronic kidney disease,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0847,0.5189,2.2003
CIR019 | GEN003,CIR019: Heart failure | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0501,0.6496,2.1941
DIG004 | FAC021 | FAC025,DIG004: Esophageal disorders | FAC021: Personal/family history of disease | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0556,0.6454,2.1797
DIG004 | FAC021,DIG004: Esophageal disorders | FAC021: Personal/family history of disease,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.0556,0.5137,2.1782
DIG004 | END010,DIG004: Esophageal disorders | END010: Disorders of lipid metabolism,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0543,0.5148,2.1687
END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.1211,0.5136,2.1636
CIR008,CIR008: Hypertension with complications and secondary hypertension,END010 | FAC025,END010: Disorders of lipid metabolism | FAC025: Other specified status,0.1211,0.5102,2.1636
CIR008 | GEN003,CIR008: Hypertension with complications and secondary hypertension | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.096,0.6391,2.1587
CIR008 | FAC025 | GEN003,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0821,0.639,2.1581
CIR008 | FAC021 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0776,0.6381,2.1551
BLD003,BLD003: Aplastic anemia,CIR008,CIR008: Hypertension with complications and secondary hypertension,0.0777,0.5114,2.1542
CIR008 | CIR017,CIR008: Hypertension with complications and secondary hypertension | CIR017: Cardiac dysrhythmias,END010,END010: Disorders of lipid metabolism,0.0559,0.637,2.1516
CIR008 | FAC021 | FAC025 | GEN003,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease | FAC025: Other specified status | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0518,0.6361,2.1483
RSP008,RSP008: Chronic obstructive pulmonary disease and bronchiectasis,FAC021 | FAC025,FAC021: Personal/family history of disease | FAC025: Other specified status,0.0542,0.581,2.1435
CIR008 | CIR019,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure,END010,END010: Disorders of lipid metabolism,0.0859,0.6343,2.1424
CIR008 | FAC021 | GEN003,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0596,0.6335,2.1396
CIR008 | CIR019 | FAC025,CIR008: Hypertension with complications and secondary hypertension | CIR019: Heart failure | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0733,0.6315,2.133
CIR008 | FAC021,CIR008: Hypertension with complications and secondary hypertension | FAC021: Personal/family history of disease,END010,END010: Disorders of lipid metabolism,0.0894,0.6309,2.1309
CIR019 | FAC021,CIR019: Heart failure | FAC021: Personal/family history of disease,END010,END010: Disorders of lipid metabolism,0.0557,0.6255,2.1124
DIG004 | FAC025,DIG004: Esophageal disorders | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0854,0.6176,2.0858
FAC022,FAC022: Acquired absence of limb or organ,FAC021 | FAC025,FAC021: Personal/family history of disease | FAC025: Other specified status,0.0502,0.5647,2.0834
CIR008 | FAC025,CIR008: Hypertension with complications and secondary hypertension | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.1211,0.6164,2.0818
DIG004 | FAC021,DIG004: Esophageal disorders | FAC021: Personal/family history of disease,END010,END010: Disorders of lipid metabolism,0.0661,0.6108,2.0628
FAC025 | GEN003,FAC025: Other specified status | GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0847,0.6097,2.0592
GEN003,GEN003: Chronic kidney disease,END010,END010: Disorders of lipid metabolism,0.0993,0.6085,2.055
CIR011 | END010,CIR011: Coronary atherosclerosis and other heart disease | END010: Disorders of lipid metabolism,FAC021 | FAC025,FAC021: Personal/family history of disease | FAC025: Other specified status,0.0746,0.5564,2.0527
CIR019,CIR019: Heart failure,END010,END010: Disorders of lipid metabolism,0.0887,0.6071,2.0504
CIR019 | FAC025,CIR019: Heart failure | FAC025: Other specified status,END010,END010: Disorders of lipid metabolism,0.0759,0.6059,2.0464
